[RUN] id=20260213_230032 epochs=20 emb_dim=512 verif_interval=5000
[RUN] train_log_interval=1000 num_classes=85742
[RUN] train_log=logs/train/train_20260213_230032.log test_log=logs/test/test_20260213_230032.log
[RUN] torchao_int8=True
step=182000 epoch=7 loss=12.6761 acc=0.963679 lr=0.003
step=183000 epoch=7 loss=12.4751 acc=0.959763 lr=0.003
step=184000 epoch=7 loss=12.5556 acc=0.959946 lr=0.003
step=185000 epoch=7 loss=12.6289 acc=0.959491 lr=0.003
step=186000 epoch=7 loss=12.6907 acc=0.959047 lr=0.003
step=187000 epoch=7 loss=12.7444 acc=0.958596 lr=0.003
step=188000 epoch=7 loss=12.7837 acc=0.958364 lr=0.003
step=189000 epoch=7 loss=12.8248 acc=0.958034 lr=0.003
step=190000 epoch=7 loss=12.8547 acc=0.957826 lr=0.003
step=191000 epoch=7 loss=12.8851 acc=0.957565 lr=0.003
step=192000 epoch=7 loss=12.9137 acc=0.957466 lr=0.003
step=193000 epoch=7 loss=12.9409 acc=0.957248 lr=0.003
step=194000 epoch=7 loss=12.9679 acc=0.957070 lr=0.003
step=195000 epoch=7 loss=12.9880 acc=0.956980 lr=0.003
step=196000 epoch=7 loss=13.0040 acc=0.956860 lr=0.003
step=197000 epoch=7 loss=13.0199 acc=0.956718 lr=0.003
step=198000 epoch=7 loss=13.0386 acc=0.956555 lr=0.003
step=199000 epoch=7 loss=13.0523 acc=0.956427 lr=0.003
step=200000 epoch=7 loss=13.0664 acc=0.956293 lr=0.003
step=201000 epoch=7 loss=13.0794 acc=0.956213 lr=0.003
step=202000 epoch=7 loss=13.0925 acc=0.956105 lr=0.003
step=203000 epoch=7 loss=13.1048 acc=0.956034 lr=0.003
step=204000 epoch=7 loss=13.1144 acc=0.955959 lr=0.003
step=205000 epoch=7 loss=13.1255 acc=0.955860 lr=0.003
step=206000 epoch=7 loss=13.1352 acc=0.955772 lr=0.003
step=207000 epoch=7 loss=13.1425 acc=0.955720 lr=0.003
step=208000 epoch=7 loss=13.1514 acc=0.955670 lr=0.003
step=209000 epoch=7 loss=13.1617 acc=0.955592 lr=0.003
step=210000 epoch=7 loss=13.1689 acc=0.955553 lr=0.003
step=211000 epoch=7 loss=13.1759 acc=0.955526 lr=0.003
step=212000 epoch=7 loss=13.1839 acc=0.955460 lr=0.003
epoch=7 train_loss=13.1851 train_acc=0.955446 epoch_time=2840.8s ETA=10:15:29
step=213000 epoch=8 loss=12.6037 acc=0.962670 lr=0.003
step=214000 epoch=8 loss=12.6850 acc=0.961618 lr=0.003
step=215000 epoch=8 loss=12.7648 acc=0.961058 lr=0.003
step=216000 epoch=8 loss=12.8468 acc=0.960350 lr=0.003
step=217000 epoch=8 loss=12.8932 acc=0.960100 lr=0.003
step=218000 epoch=8 loss=12.9369 acc=0.959720 lr=0.003
step=219000 epoch=8 loss=12.9821 acc=0.959277 lr=0.003
step=220000 epoch=8 loss=13.0186 acc=0.958941 lr=0.003
step=221000 epoch=8 loss=13.0453 acc=0.958680 lr=0.003
step=222000 epoch=8 loss=13.0731 acc=0.958475 lr=0.003
step=223000 epoch=8 loss=13.0985 acc=0.958255 lr=0.003
step=224000 epoch=8 loss=13.1233 acc=0.958070 lr=0.003
step=225000 epoch=8 loss=13.1453 acc=0.957830 lr=0.003
step=226000 epoch=8 loss=13.1610 acc=0.957653 lr=0.003
step=227000 epoch=8 loss=13.1759 acc=0.957491 lr=0.003
step=228000 epoch=8 loss=13.1895 acc=0.957370 lr=0.003
step=229000 epoch=8 loss=13.2037 acc=0.957213 lr=0.003
step=230000 epoch=8 loss=13.2154 acc=0.957132 lr=0.003
step=231000 epoch=8 loss=13.2269 acc=0.957018 lr=0.003
step=232000 epoch=8 loss=13.2362 acc=0.956937 lr=0.003
